race,driver,team,grid_position,quali_position,driver_points,avg_track_temp,rainfall,avg_lap_gap,n_pitstops,dnf,finish_position,won
Britain,RUS,Mercedes,1.0,1.0,98.0,27.670068027210885,1,3.9993913043478386,2,1,19.0,0
Britain,GAS,Alpine,19.0,20.0,6.0,27.670068027210885,1,5.0,0,1,20.0,0
Hungary,PIA,McLaren,2.0,2.0,100.0,44.91612903225806,0,3.1968529411764592,2,0,1.0,1
Hungary,NOR,McLaren,1.0,1.0,144.0,44.91612903225806,0,3.187283582089549,2,0,2.0,0
Hungary,HAM,Mercedes,5.0,5.0,92.0,44.91612903225806,0,3.356104477611936,2,0,3.0,0
Hungary,LEC,Ferrari,6.0,6.0,121.0,44.91612903225806,0,3.390716417910454,2,0,4.0,0
Hungary,VER,Red Bull Racing,3.0,3.0,206.0,44.91612903225806,0,3.360369230769223,2,0,5.0,0
Hungary,SAI,Ferrari,4.0,4.0,124.0,44.91612903225806,0,3.3200461538461497,2,0,6.0,0
Hungary,PER,Red Bull Racing,16.0,16.0,101.0,44.91612903225806,0,3.4895538461538536,2,0,7.0,0
Hungary,RUS,Mercedes,17.0,17.0,98.0,44.91612903225806,0,3.361677966101695,2,0,8.0,0
Hungary,TSU,RB,10.0,10.0,18.0,44.91612903225806,0,4.438323529411761,1,0,9.0,0
Hungary,STR,Aston Martin,8.0,8.0,21.0,44.91612903225806,0,4.175940298507456,2,0,10.0,0
Hungary,ALO,Aston Martin,7.0,7.0,45.0,44.91612903225806,0,4.298761194029851,2,0,11.0,0
Hungary,RIC,RB,9.0,9.0,6.0,44.91612903225806,0,4.582469696969682,2,1,12.0,0
Hungary,HUL,Haas F1 Team,11.0,11.0,20.0,44.91612903225806,0,4.774090909090901,2,1,13.0,0
Hungary,ALB,Williams,13.0,13.0,4.0,44.91612903225806,0,4.8402121212121045,2,1,14.0,0
Hungary,MAG,Haas F1 Team,15.0,15.0,5.0,44.91612903225806,0,4.882630769230758,2,1,15.0,0
Hungary,BOT,Kick Sauber,12.0,12.0,0.0,44.91612903225806,0,4.896215384615374,2,1,16.0,0
Hungary,SAR,Williams,14.0,14.0,0.0,44.91612903225806,0,4.460089285714261,3,1,17.0,0
Hungary,OCO,Alpine,19.0,19.0,3.0,44.91612903225806,0,4.659180327868825,3,1,18.0,0
Hungary,ZHO,Kick Sauber,18.0,18.0,0.0,44.91612903225806,0,5.168999999999997,2,1,19.0,0
Hungary,GAS,Alpine,20.0,20.0,6.0,44.91612903225806,0,5.468741935483877,2,1,20.0,0
Belgium,HAM,Mercedes,3.0,4.0,107.0,42.26715328467153,0,3.52207317073173,2,0,1.0,1
Belgium,PIA,McLaren,5.0,6.0,125.0,42.26715328467153,0,3.42817500000001,2,0,2.0,0
Belgium,LEC,Ferrari,1.0,2.0,133.0,42.26715328467153,0,3.8930476190476213,2,0,3.0,0
Belgium,VER,Red Bull Racing,11.0,1.0,216.0,42.26715328467153,0,3.5777499999999947,2,0,4.0,0
Belgium,NOR,McLaren,4.0,5.0,162.0,42.26715328467153,0,3.679299999999998,2,0,5.0,0
Belgium,SAI,Ferrari,7.0,8.0,132.0,42.26715328467153,0,4.014146341463416,2,0,6.0,0
Belgium,PER,Red Bull Racing,2.0,3.0,107.0,42.26715328467153,0,3.821864864864878,3,0,7.0,0
Belgium,ALO,Aston Martin,8.0,9.0,45.0,42.26715328467153,0,4.975976190476217,1,0,8.0,0
Belgium,OCO,Alpine,9.0,10.0,3.0,42.26715328467153,0,4.552275000000009,2,0,9.0,0
Belgium,RIC,RB,13.0,13.0,6.0,42.26715328467153,0,4.53977500000002,2,0,10.0,0
Belgium,STR,Aston Martin,15.0,15.0,22.0,42.26715328467153,0,5.2009285714285625,1,0,11.0,0
Belgium,ALB,Williams,10.0,11.0,4.0,42.26715328467153,0,4.982414634146338,2,0,12.0,0
